City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
433,Santo Antonio Do Ica,BR,84.56,scattered clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
434,Kapit,MY,73.0,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
435,Bonnyville,CA,86.02,clear sky,54.2668,-110.735,Best Western Bonnyville Inn & Suites
436,Baghdad,IQ,94.91,clear sky,33.3406,44.4009,Baghdad Hotel
439,Daru,PG,76.87,overcast clouds,-9.0763,143.2092,Daru Lodge
440,Mandla,IN,73.9,overcast clouds,22.6,80.3833,Bison Resort
442,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Dot Hotel Okinawa ドットホテル沖縄
443,Fortuna,US,74.86,few clouds,40.5982,-124.1573,Bear River Casino Resort
444,Aliartos,GR,89.89,clear sky,38.3667,23.1,HELICON MUSES Friendly Mountain B&B Guesthouse
446,Satun,TH,78.51,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
450,Hohhot,CN,71.91,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
451,Vasylivka,UA,72.48,scattered clouds,47.4369,35.2742,Alero
452,Las Palmas,ES,70.59,few clouds,28.4204,-14.0131,Casa Rural Sunset Ampuyenta
453,Aqtobe,KZ,75.29,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
456,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
459,Ndele,CF,71.1,overcast clouds,8.4109,20.6473,
460,Pundaguitan,PH,83.75,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
462,Lagos,NG,80.92,overcast clouds,6.5833,3.75,ELERAN IGBE BY LAGOS LAGOON
464,Hami,CN,84.94,clear sky,42.8,93.45,Post And Telecommunication Hotel
465,Posse,BR,75.7,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
466,Kendari,ID,73.36,overcast clouds,-3.945,122.4989,Hotel Wixel
469,Malakal,SS,70.48,overcast clouds,9.5334,31.6605,Nile Palace Hotel
